signup_id,first_name,last_name,email
6-0,Charlie,Diaz,charlie.diaz@example.com
6-1,Charlie,Kim,not-an-email
6-2,Hana,Jones,hana.jones@test.org
6-3,Hana,Smith,hana.smith@test.org
6-4,Charlie,Brown,charlie.brown@test.org
6-5,Charlie,Jones,charlie.jones@mail.com
6-6,Evan,Kim,evan.kim@test.org
6-7,George,Jones,george.jones@mail.com
6-8,George,Kim,george.kim@test.org
6-9,Hana,Smith,hana.smith@test.org
6-10,Bob,Patel,bob.patel@test.org
6-11,Evan,Patel,evan.patel@test.org
6-12,Bob,Brown,bob.brown@example.com
6-13,Bob,Diaz,bob.diaz@example.com
6-14,,Smith,evan.smith@example.com
6-15,Fiona,Smith,fiona.smith@mail.com
6-16,Fiona,Kim,fiona.kim@mail.com
6-17,Charlie,Patel,charlie.patel@test.org
6-18,George,Lee,george.lee@example.com
6-19,Charlie,Jones,charlie.jones@test.org
6-20,George,Patel,george.patel@mail.com
6-21,Charlie,Patel,charlie.patel@mail.com
6-22,Evan,Diaz,evan.diaz@mail.com
6-23,Alice,Diaz,alice.diaz@mail.com
6-24,Charlie,Jones,charlie.jones@mail.com
6-25,Fiona,Garcia,fiona.garcia@test.org
6-26,George,Garcia,george.garcia@mail.com
6-27,Evan,Patel,evan.patel@mail.com
6-28,Hana,Jones,hana.jones@example.com
6-29,George,Kim,george.kim@test.org
6-30,Evan,Garcia,not-an-email
6-31,George,Garcia,george.garcia@example.com
6-32,Alice,Diaz,alice.diaz@mail.com
6-33,Dana,Kim,dana.kim@example.com
6-34,Dana,Garcia,dana.garcia@test.org
6-35,Charlie,Jones,charlie.jones@test.org
6-36,Alice,Garcia,alice.garcia@mail.com
6-37,Alice,Kim,alice.kim@test.org
6-38,Charlie,Jones,charlie.jones@mail.com
6-39,Fiona,Brown,fiona.brown@example.com
6-40,Dana,Lee,dana.lee@test.org
6-41,Fiona,Garcia,fiona.garcia@example.com
6-42,Evan,Diaz,evan.diaz@mail.com
6-43,Fiona,Jones,fiona.jones@mail.com
6-44,Bob,Lee,bob.lee@example.com
6-45,George,Kim,george.kim@example.com
6-46,George,Smith,george.smith@mail.com
6-47,Bob,Diaz,bob.diaz@mail.com
6-48,Evan,Brown,evan.brown@test.org
6-49,Fiona,Jones,fiona.jones@test.org
