signup_id,first_name,last_name,email
4-0,Evan,Jones,evan.jones@test.org
4-1,Alice,Kim,alice.kim@test.org
4-2,George,Kim,george.kim@example.com
4-3,Fiona,Smith,fiona.smith@mail.com
4-4,Hana,Jones,hana.jones@mail.com
4-5,Fiona,Diaz,fiona.diaz@test.org
4-6,Charlie,Brown,charlie.brown@example.com
4-7,Evan,Diaz,evan.diaz@mail.com
4-8,George,Garcia,george.garcia@mail.com
4-9,Dana,Jones,dana.jones@mail.com
4-10,Hana,Patel,hana.patel@mail.com
4-11,George,Kim,not-an-email
4-12,Hana,Kim,hana.kim@example.com
4-13,Hana,Patel,hana.patel@mail.com
4-14,Evan,Kim,evan.kim@mail.com
4-15,Evan,Smith,evan.smith@test.org
4-16,Dana,Jones,dana.jones@example.com
4-17,George,Diaz,george.diaz@test.org
4-18,Dana,Diaz,dana.diaz@test.org
4-19,Hana,Diaz,hana.diaz@example.com
4-20,Bob,Garcia,bob.garcia@example.com
4-21,George,Patel,george.patel@mail.com
4-22,Fiona,Diaz,fiona.diaz@test.org
4-23,Fiona,Brown,fiona.brown@test.org
4-24,Fiona,Kim,fiona.kim@test.org
4-25,Hana,Garcia,hana.garcia@mail.com
4-26,Evan,Patel,evan.patel@example.com
4-27,Dana,Kim,dana.kim@example.com
4-28,Charlie,Patel,charlie.patel@example.com
4-29,Hana,Garcia,hana.garcia@test.org
4-30,Evan,Jones,evan.jones@example.com
4-31,Evan,Patel,evan.patel@mail.com
4-32,Charlie,Garcia,charlie.garcia@example.com
4-33,Charlie,Garcia,charlie.garcia@example.com
4-34,Alice,Garcia,alice.garcia@test.org
4-35,Charlie,Diaz,charlie.diaz@example.com
4-36,Alice,Garcia,alice.garcia@mail.com
4-37,Hana,Diaz,hana.diaz@mail.com
4-38,Charlie,Smith,charlie.smith@mail.com
4-39,Hana,Jones,hana.jones@example.com
4-40,George,Diaz,george.diaz@example.com
4-41,Alice,Lee,alice.lee@example.com
4-42,Evan,Jones,evan.jones@example.com
4-43,Bob,Brown,bob.brown@test.org
4-44,Dana,Brown,dana.brown@mail.com
4-45,Hana,Garcia,hana.garcia@test.org
4-46,George,Garcia,george.garcia@test.org
4-47,Alice,Jones,alice.jones@example.com
4-48,Dana,Garcia,dana.garcia@test.org
4-49,Bob,Lee,bob.lee@example.com
