signup_id,first_name,last_name,email
5-0,Charlie,Smith,charlie.smith@mail.com
5-1,Hana,Diaz,hana.diaz@mail.com
5-2,Alice,Patel,alice.patel@mail.com
5-3,Evan,Diaz,evan.diaz@example.com
5-4,Dana,Garcia,dana.garcia@test.org
5-5,Dana,Brown,dana.brown@example.com
5-6,Dana,Lee,dana.lee@mail.com
5-7,Charlie,Jones,charlie.jones@example.com
5-8,Charlie,Garcia,charlie.garcia@test.org
5-9,Evan,Diaz,evan.diaz@example.com
5-10,Hana,Garcia,hana.garcia@test.org
5-11,George,Garcia,george.garcia@test.org
5-12,Hana,Diaz,hana.diaz@example.com
5-13,Alice,Brown,alice.brown@test.org
5-14,Fiona,Garcia,fiona.garcia@example.com
5-15,Bob,Patel,bob.patel@test.org
5-16,Alice,Garcia,alice.garcia@test.org
5-17,Alice,Lee,alice.lee@mail.com
5-18,Hana,Garcia,hana.garcia@example.com
5-19,George,Diaz,george.diaz@example.com
5-20,Hana,Kim,hana.kim@mail.com
5-21,Fiona,Kim,fiona.kim@test.org
5-22,Bob,Lee,bob.lee@mail.com
5-23,George,Diaz,george.diaz@mail.com
5-24,George,Smith,george.smith@mail.com
5-25,Bob,Kim,bob.kim@mail.com
5-26,Fiona,Jones,fiona.jones@mail.com
5-27,Alice,Diaz,alice.diaz@mail.com
5-28,Alice,Patel,alice.patel@test.org
5-29,Fiona,Diaz,fiona.diaz@test.org
5-30,,Smith,hana.smith@example.com
5-31,Evan,Lee,evan.lee@mail.com
5-32,Hana,Diaz,hana.diaz@example.com
5-33,Alice,Patel,alice.patel@test.org
5-34,Charlie,Garcia,charlie.garcia@test.org
5-35,Alice,Brown,alice.brown@example.com
5-36,Dana,Jones,dana.jones@mail.com
5-37,Bob,Lee,bob.lee@mail.com
5-38,Evan,Garcia,evan.garcia@mail.com
5-39,Hana,Diaz,hana.diaz@example.com
5-40,Hana,Lee,hana.lee@mail.com
5-41,Dana,Lee,dana.lee@example.com
5-42,Evan,Brown,evan.brown@mail.com
5-43,Evan,Smith,evan.smith@mail.com
5-44,Evan,Diaz,evan.diaz@example.com
5-45,Hana,Diaz,hana.diaz@mail.com
5-46,Fiona,Brown,fiona.brown@mail.com
5-47,,Patel,fiona.patel@test.org
5-48,Dana,Brown,dana.brown@example.com
5-49,George,Smith,george.smith@mail.com
