signup_id,first_name,last_name,email
3-0,Evan,Patel,evan.patel@example.com
3-1,Charlie,Smith,charlie.smith@example.com
3-2,Dana,Diaz,dana.diaz@test.org
3-3,Bob,Diaz,bob.diaz@mail.com
3-4,Dana,Brown,dana.brown@mail.com
3-5,George,Patel,george.patel@example.com
3-6,Alice,Jones,alice.jones@mail.com
3-7,Dana,Lee,dana.lee@test.org
3-8,Hana,Smith,hana.smith@test.org
3-9,Dana,Jones,dana.jones@mail.com
3-10,Charlie,Diaz,charlie.diaz@test.org
3-11,Fiona,Diaz,fiona.diaz@test.org
3-12,George,Diaz,george.diaz@example.com
3-13,Hana,Diaz,hana.diaz@mail.com
3-14,Dana,Garcia,dana.garcia@test.org
3-15,Hana,Patel,hana.patel@mail.com
3-16,Hana,Jones,hana.jones@test.org
3-17,Evan,Patel,evan.patel@mail.com
3-18,Fiona,Kim,fiona.kim@test.org
3-19,Bob,Lee,bob.lee@example.com
3-20,Dana,Brown,dana.brown@test.org
3-21,Charlie,Patel,charlie.patel@example.com
3-22,George,Brown,george.brown@mail.com
3-23,Hana,Brown,hana.brown@example.com
3-24,Dana,Brown,not-an-email
3-25,Alice,Brown,not-an-email
3-26,Alice,Kim,alice.kim@mail.com
3-27,George,Brown,george.brown@test.org
3-28,Dana,Diaz,dana.diaz@example.com
3-29,Evan,Brown,evan.brown@mail.com
3-30,Alice,Brown,alice.brown@mail.com
3-31,George,Lee,george.lee@mail.com
3-32,Charlie,Smith,charlie.smith@mail.com
3-33,Alice,Jones,alice.jones@test.org
3-34,George,Lee,george.lee@mail.com
3-35,Charlie,Smith,charlie.smith@mail.com
3-36,George,Kim,not-an-email
3-37,Hana,Kim,hana.kim@mail.com
3-38,George,Garcia,george.garcia@mail.com
3-39,Evan,Jones,evan.jones@mail.com
3-40,Alice,Smith,alice.smith@mail.com
3-41,Dana,Jones,dana.jones@test.org
3-42,Alice,Smith,alice.smith@example.com
3-43,Dana,Smith,not-an-email
3-44,Charlie,Patel,charlie.patel@example.com
3-45,Hana,Jones,hana.jones@test.org
3-46,Dana,Diaz,dana.diaz@test.org
3-47,Evan,Kim,evan.kim@example.com
3-48,Bob,Lee,bob.lee@mail.com
3-49,Bob,Smith,bob.smith@mail.com
