signup_id,first_name,last_name,email
1-0,Bob,Diaz,bob.diaz@example.com
1-1,Charlie,Lee,charlie.lee@test.org
1-2,Hana,Lee,hana.lee@mail.com
1-3,George,Patel,george.patel@test.org
1-4,Dana,Garcia,dana.garcia@mail.com
1-5,Fiona,Diaz,fiona.diaz@test.org
1-6,Hana,Jones,hana.jones@example.com
1-7,Dana,Jones,dana.jones@mail.com
1-8,Alice,Patel,alice.patel@test.org
1-9,Dana,Smith,dana.smith@example.com
1-10,Alice,Patel,alice.patel@example.com
1-11,Alice,Kim,alice.kim@example.com
1-12,Dana,Garcia,dana.garcia@test.org
1-13,Hana,Patel,hana.patel@test.org
1-14,Charlie,Diaz,charlie.diaz@example.com
1-15,Hana,Brown,hana.brown@example.com
1-16,Bob,Jones,bob.jones@test.org
1-17,George,Kim,george.kim@mail.com
1-18,George,Diaz,george.diaz@test.org
1-19,Alice,Jones,alice.jones@example.com
1-20,George,Kim,george.kim@example.com
1-21,Dana,Patel,dana.patel@example.com
1-22,Hana,Lee,hana.lee@mail.com
1-23,Charlie,Garcia,charlie.garcia@mail.com
1-24,Dana,Jones,dana.jones@mail.com
1-25,Bob,Smith,bob.smith@test.org
1-26,Alice,Jones,alice.jones@example.com
1-27,Charlie,Brown,charlie.brown@mail.com
1-28,,Patel,hana.patel@mail.com
1-29,Alice,Lee,alice.lee@mail.com
1-30,Alice,Brown,alice.brown@mail.com
1-31,Hana,Garcia,hana.garcia@mail.com
1-32,Hana,Lee,hana.lee@example.com
1-33,Evan,Patel,evan.patel@example.com
1-34,Alice,Kim,not-an-email
1-35,Alice,Diaz,alice.diaz@test.org
1-36,Charlie,Smith,charlie.smith@test.org
1-37,Bob,Lee,bob.lee@example.com
1-38,Bob,Patel,bob.patel@mail.com
1-39,Bob,Patel,bob.patel@test.org
1-40,Alice,Jones,alice.jones@mail.com
1-41,Fiona,Garcia,fiona.garcia@example.com
1-42,Fiona,Patel,fiona.patel@mail.com
1-43,George,Lee,george.lee@test.org
1-44,Evan,Diaz,evan.diaz@mail.com
1-45,Bob,Smith,bob.smith@mail.com
1-46,Bob,Jones,bob.jones@test.org
1-47,Dana,Garcia,dana.garcia@example.com
1-48,Fiona,Jones,fiona.jones@example.com
1-49,Fiona,Garcia,fiona.garcia@example.com
