signup_id,first_name,last_name,email
7-0,Hana,Garcia,hana.garcia@test.org
7-1,George,Jones,george.jones@example.com
7-2,Alice,Smith,alice.smith@mail.com
7-3,Hana,Jones,hana.jones@example.com
7-4,Dana,Lee,dana.lee@mail.com
7-5,Hana,Kim,hana.kim@test.org
7-6,George,Lee,george.lee@mail.com
7-7,,Diaz,bob.diaz@test.org
7-8,George,Garcia,george.garcia@example.com
7-9,Fiona,Patel,fiona.patel@mail.com
7-10,Hana,Patel,hana.patel@mail.com
7-11,Bob,Kim,bob.kim@test.org
7-12,Fiona,Smith,fiona.smith@mail.com
7-13,Evan,Patel,evan.patel@example.com
7-14,Hana,Jones,hana.jones@test.org
7-15,Dana,Smith,dana.smith@example.com
7-16,Fiona,Patel,fiona.patel@example.com
7-17,Dana,Jones,dana.jones@test.org
7-18,Dana,Patel,dana.patel@example.com
7-19,Fiona,Lee,fiona.lee@test.org
7-20,Alice,Garcia,alice.garcia@example.com
7-21,Charlie,Garcia,charlie.garcia@example.com
7-22,,Smith,bob.smith@example.com
7-23,Alice,Kim,alice.kim@example.com
7-24,Fiona,Smith,fiona.smith@example.com
7-25,Evan,Smith,evan.smith@example.com
7-26,George,Jones,not-an-email
7-27,Bob,Diaz,bob.diaz@mail.com
7-28,Fiona,Jones,fiona.jones@mail.com
7-29,Dana,Smith,dana.smith@test.org
7-30,Evan,Diaz,evan.diaz@test.org
7-31,Alice,Smith,alice.smith@mail.com
7-32,George,Brown,george.brown@test.org
7-33,Bob,Diaz,bob.diaz@test.org
7-34,Hana,Jones,hana.jones@example.com
7-35,Fiona,Lee,fiona.lee@example.com
7-36,Charlie,Garcia,charlie.garcia@test.org
7-37,Fiona,Brown,fiona.brown@test.org
7-38,Evan,Diaz,evan.diaz@test.org
7-39,George,Jones,george.jones@test.org
7-40,Bob,Patel,bob.patel@mail.com
7-41,Hana,Patel,hana.patel@mail.com
7-42,,Diaz,fiona.diaz@mail.com
7-43,George,Jones,george.jones@mail.com
7-44,George,Kim,george.kim@test.org
7-45,Evan,Kim,evan.kim@example.com
7-46,Hana,Jones,hana.jones@example.com
7-47,Bob,Jones,bob.jones@mail.com
7-48,Bob,Kim,bob.kim@example.com
7-49,Alice,Kim,alice.kim@test.org
