signup_id,first_name,last_name,email
0-0,Bob,Smith,bob.smith@test.org
0-1,Evan,Patel,evan.patel@example.com
0-2,Charlie,Jones,charlie.jones@test.org
0-3,Bob,Brown,bob.brown@example.com
0-4,Alice,Jones,alice.jones@example.com
0-5,Dana,Smith,dana.smith@test.org
0-6,Dana,Brown,dana.brown@example.com
0-7,Hana,Garcia,hana.garcia@example.com
0-8,Charlie,Brown,charlie.brown@mail.com
0-9,Evan,Lee,evan.lee@example.com
0-10,Fiona,Jones,fiona.jones@example.com
0-11,George,Jones,george.jones@mail.com
0-12,Fiona,Garcia,fiona.garcia@example.com
0-13,Hana,Jones,hana.jones@mail.com
0-14,Bob,Garcia,bob.garcia@test.org
0-15,Fiona,Patel,fiona.patel@test.org
0-16,Bob,Smith,bob.smith@test.org
0-17,Dana,Garcia,dana.garcia@example.com
0-18,Dana,Jones,dana.jones@mail.com
0-19,Evan,Diaz,evan.diaz@test.org
0-20,Fiona,Lee,fiona.lee@mail.com
0-21,Fiona,Patel,fiona.patel@test.org
0-22,Evan,Jones,evan.jones@test.org
0-23,Charlie,Patel,charlie.patel@example.com
0-24,Hana,Brown,hana.brown@mail.com
0-25,Dana,Kim,dana.kim@example.com
0-26,Dana,Smith,dana.smith@mail.com
0-27,George,Garcia,george.garcia@example.com
0-28,Dana,Kim,dana.kim@example.com
0-29,Hana,Brown,hana.brown@test.org
0-30,Hana,Lee,hana.lee@mail.com
0-31,Charlie,Patel,charlie.patel@test.org
0-32,Evan,Brown,evan.brown@test.org
0-33,George,Kim,george.kim@example.com
0-34,Charlie,Diaz,charlie.diaz@example.com
0-35,Alice,Jones,alice.jones@example.com
0-36,Charlie,Brown,not-an-email
0-37,Bob,Brown,bob.brown@mail.com
0-38,Hana,Garcia,hana.garcia@test.org
0-39,Alice,Jones,alice.jones@test.org
0-40,Evan,Kim,evan.kim@example.com
0-41,Evan,Brown,evan.brown@example.com
0-42,Hana,Smith,hana.smith@test.org
0-43,Evan,Lee,evan.lee@test.org
0-44,Bob,Garcia,bob.garcia@test.org
0-45,Dana,Lee,dana.lee@mail.com
0-46,Charlie,Smith,charlie.smith@test.org
0-47,Fiona,Diaz,fiona.diaz@example.com
0-48,Bob,Kim,bob.kim@mail.com
0-49,Dana,Smith,dana.smith@example.com
